prefab,pathObject,rendererCount,totalVertices,totalTriangles,materialSlots,meshColliderCount,meshColliderTriangles,lodGroupCount,shadowCasters,architectureCandidate
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/Magazine.prefab","Magazine",1,36,20,1,1,20,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/Notepad.prefab","Notepad",1,911,1188,1,1,1188,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/Switch&Socket .prefab","Switch&Socket ",3,1610,986,3,1,0,0,3,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Common/VaseFloor_1.prefab","VaseFloor_1",1,622,820,2,1,820,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Dining Room/Cutlery_Set.prefab","Cutlery_Set",5,3312,5180,5,1,0,0,5,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Dining Room/dinning_chair.prefab","dinning_chair",1,2786,3888,2,1,3888,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Dining Room/dinning_table.prefab","dinning_table",1,208,104,1,1,104,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Dining Room/PlateGroup.prefab","PlateGroup",3,5766,10560,3,1,0,0,3,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Dining Room/trash-can.prefab","trash-can",1,602,558,1,1,558,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Environment/archviz.prefab","archviz",18,6175,4587,31,1,0,0,18,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/chopping-board.prefab","chopping-board",1,363,276,1,1,276,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/CoffeeMachine.prefab","CoffeeMachine",1,1874,1384,1,1,1384,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/Dish-drainer.prefab","Dish-drainer",6,11818,18704,6,1,1104,0,6,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/Kettle.prefab","Kettle",1,921,864,1,1,864,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/Kitchen_Cabinet-1.prefab","Kitchen_Cabinet-1",136,10930,8237,142,1,0,0,136,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/Kitchen_Cabinet-2.prefab","Kitchen_Cabinet-2",99,5686,3484,117,1,0,0,99,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/knife-block.prefab","knife-block",5,976,1032,5,1,48,0,5,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/mug-tree.prefab","mug-tree",1,1313,1392,1,1,1392,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Kitchen Room/Toaster.prefab","Toaster",1,1077,1072,1,1,1072,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/Laptop.prefab","Laptop",1,259,200,1,1,200,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/LivingRoom Carpet.prefab","LivingRoom Carpet",1,121,200,1,2,400,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/LivingRoom Chair.prefab","LivingRoom Chair",1,2238,2808,1,1,2808,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/RemoteControl.prefab","RemoteControl",1,188,186,1,1,186,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/Sofa.prefab","Sofa",1,4127,4742,1,1,4742,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/Tea Table.prefab","Tea Table",1,324,252,1,1,252,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/TV.prefab","TV",1,160,140,1,1,140,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/TV_Panels.prefab","TV_Panels",1,52,32,1,1,32,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/TV_Shelf.prefab","TV_Shelf",1,272,188,1,1,188,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Living Room/window.prefab","window",6,724,524,6,1,0,0,6,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/BookShelf.prefab","BookShelf",24,2848,2082,24,1,0,0,24,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/Imac.prefab","Imac",1,736,708,1,1,708,0,1,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/Pen.prefab","Pen",8,2759,2024,8,1,0,0,8,True
"Assets/DevDen Arch Viz Scotland/Prefabs/Study Room/Study_table.prefab","Study_table",1,299,204,1,1,204,0,1,True
