path,width,height,format,isReadable,mipmapCount,runtimeMemoryBytes,fileBytes,maxTextureSize,textureCompression,crunched,alphaSource,sRGBTexture,wrapMode,filterMode
"Assets/BCaT_assets/BlackParlors/Assets/picture-frame/textures/pictureframe.png",2048,2048,"RGBA_DXT1_SRGB",False,12,5593408,1692975,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_BaseColor.png",2048,2048,"RGBA_DXT5_SRGB",False,12,11185873,1422749,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/camera-canon-eos-400d/textures/Camara_Low_V2_lambert3_Normal.png",2048,2048,"RGBA_DXT1_SRGB",False,12,5593408,14076281,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/drone.glb",1024,1024,"RGBA_DXT5_UNorm",True,11,2797232,16633652,0,,False,,False,"Repeat","Trilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/flowerbarrel_with_tulips.glb",2048,2048,"RGBA_DXT1_SRGB",False,12,5593408,17575828,0,,False,,False,"Repeat","Trilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/generic_tulip_flower.glb",1024,1024,"RGBA_DXT5_UNorm",True,11,2797232,8429860,0,,False,,False,"Repeat","Trilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/metal_table_asset.glb",2048,2048,"RGBA_DXT5_UNorm",True,12,11185840,29600972,0,,False,,False,"Repeat","Trilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/textures/diffuse.jpg",2048,2048,"RGBA_DXT1_SRGB",False,12,5593408,1590799,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray-paint-bottle-2/textures/normal.jpg",2048,2048,"RGBA_DXT1_SRGB",False,12,5593408,1985517,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/BTMMP_Workstation_Assembly/spray_can.glb",2048,2048,"RGBA_DXT5_UNorm",True,12,11185840,5592488,0,,False,,False,"Repeat","Trilinear"
"Assets/BCaT_assets/HOMED/Models/Candle.glb",1024,1024,"RGBA_DXT1_SRGB",False,11,1399137,1274652,0,,False,,False,"Repeat","Point"
"Assets/BCaT_assets/HOMED/Models/Recipe-Box.glb",1024,1024,"RGBA_DXT1_SRGB",False,11,1399137,1578676,0,,False,,False,"Repeat","Point"
"Assets/BCaT_assets/HOMED/Recipe_box_img.jpeg",2048,1024,"RGBA_DXT1_SRGB",False,1,2098128,1315171,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
"Assets/BCaT_assets/HOMED/Recipe_Box_letters.png",1024,512,"RGBA_DXT5_SRGB",False,11,1399152,2924497,2048,Compressed,False,FromInput,True,"Repeat","Bilinear"
