path,fileBytes,meshAssets,totalVertices,totalTriangles,totalSubMeshes,readWrite,meshCompression,importMaterials,generateColliders,globalScale
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/bathroom_cabin.fbx",80853,7,412,242,7,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/bathroom_shelf.fbx",24224,1,116,70,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/bathroom_wall.fbx",26000,1,252,126,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/bathroom_wash.fbx",181649,2,616,468,3,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/ceiling lamp.fbx",43904,1,403,510,2,False,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/metaldryer.FBX",185738,1,859,956,1,True,Off,True,False,0.3
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/Mirror02_1.FBX",33872,1,36,26,3,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/shower.FBX",435994,1,1007,1056,1,True,Off,True,False,3
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/toilet.FBX",164059,1,410,410,1,True,Off,True,False,2.5
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/toilet_accesories.fbx",3059744,28,80421,75546,28,True,Off,True,False,10
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/tolpaper.FBX",131537,1,364,284,1,True,Off,True,False,0.4
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/washingmachine(front closed).FBX",85391,1,470,410,1,True,Off,True,False,3
"Assets/DevDen Arch Viz Scotland/Models/Bathroom/washingmachine.FBX",164907,2,488,390,2,True,Off,True,False,3
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/bed_1.fbx",260544,4,5192,7560,4,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/bedside_lamp1.fbx",55440,1,1450,1260,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/bedside_table.fbx",45130,1,212,138,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/bedsider.fbx",152344,1,1440,1188,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/carpet.fbx",25488,1,88,66,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/dressing_mirror.fbx",67599,1,365,276,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/fotostand.fbx",14638,1,24,12,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/Painting_Photo_B.FBX",23392,1,76,44,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/Painting_Small_C.FBX",22960,1,66,36,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/Painting_StandPhoto_A.FBX",24112,1,96,52,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/Painting_StandPhoto_C.FBX",24576,1,110,60,1,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Bed Room/VaseFloor02_1.FBX",80656,1,622,820,2,True,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Common/airconditioner.FBX",120579,1,295,284,1,True,Off,True,False,0.7
"Assets/DevDen Arch Viz Scotland/Models/Common/lamp.fbx",92272,1,1414,1556,2,False,Off,True,False,1
"Assets/DevDen Arch Viz Scotland/Models/Common/magazine.FBX",34720,1,544,498,1,True,Off,False,False,1
"Assets/DevDen Arch Viz Scotland/Models/Common/magazine1.FBX",19676,1,36,20,1,True,Off,True,False,1.5
